Time (s),TX Value,Duty Cycle,Reconstructed Value,Poll Samples
0.255000,-1.000000,0.000997,-0.998005,12032
0.256000,-0.951057,0.021596,-0.956808,11993
0.257000,-0.809017,0.081372,-0.837256,11896
0.258000,-0.587785,0.183259,-0.633482,11230
0.259000,-0.309017,0.311660,-0.376679,12135
0.260000,0.000000,0.458493,-0.083014,10685
0.261000,0.309017,0.620351,0.240702,9572
0.262000,0.587785,0.763293,0.526585,10946
0.263000,0.809017,0.884760,0.769520,10630
0.264000,0.951057,0.969216,0.938432,10395
0.265000,1.000000,0.998759,0.997517,10473
0.266000,0.951057,0.974283,0.948567,10499
0.267000,0.809017,0.897453,0.794906,10600
0.268000,0.587785,0.775993,0.551985,10705
0.269000,0.309017,0.631867,0.263733,10977
0.270000,-0.000000,0.480311,-0.039379,11199
0.271000,-0.309017,0.312298,-0.375403,11473
0.272000,-0.587785,0.189721,-0.620559,11596
0.273000,-0.809017,0.089790,-0.820420,11616
0.274000,-0.951057,0.024415,-0.951171,12042
0.275000,-1.000000,0.000000,-1.000000,11904
0.276000,-0.951057,0.022015,-0.955971,11674
0.277000,-0.809017,0.083163,-0.833673,11760
0.278000,-0.587785,0.179249,-0.641503,11604
0.279000,-0.309017,0.315631,-0.368739,11260
0.280000,0.000000,0.461942,-0.076115,11233
0.281000,0.309017,0.616735,0.233470,10995
0.282000,0.587785,0.764112,0.528223,10789
0.283000,0.809017,0.884696,0.769391,10546
0.284000,0.951057,0.969446,0.938892,10506
0.285000,1.000000,0.997326,0.994653,10473
0.286000,0.951057,0.973258,0.946517,10508
0.287000,0.809017,0.904149,0.808299,11351
0.288000,0.587785,0.780159,0.560318,10685
0.289000,0.309017,0.626265,0.252531,11064
0.290000,-0.000000,0.469492,-0.061016,11161
0.291000,-0.309017,0.324626,-0.350749,11484
0.292000,-0.587785,0.187933,-0.624134,11685
0.293000,-0.809017,0.081887,-0.836226,11870
0.294000,-0.951057,0.024865,-0.950269,11703
0.295000,-1.000000,0.000941,-0.998117,11686
0.296000,-0.951057,0.020445,-0.959109,12032
0.297000,-0.809017,0.085809,-0.828382,11747
0.298000,-0.587785,0.178670,-0.642659,11552
0.299000,-0.309017,0.314395,-0.371209,11476
0.300000,0.000000,0.457353,-0.085293,11267
0.301000,0.309017,0.621361,0.242722,10992
0.302000,0.587785,0.762203,0.524406,10694
0.303000,0.809017,0.887882,0.775765,12585
0.304000,0.951057,0.969041,0.938083,10078
0.305000,1.000000,0.998677,0.997353,9823
0.306000,0.951057,0.974646,0.949293,9545
0.307000,0.809017,0.897283,0.794566,10047
0.308000,0.587785,0.781473,0.562947,14822
0.309000,0.309017,0.636833,0.273666,9687
0.310000,-0.000000,0.471446,-0.057109,10016
0.311000,-0.309017,0.321997,-0.356007,10438
0.312000,-0.587785,0.194580,-0.610839,10222
0.313000,-0.809017,0.087222,-0.825556,10651
0.314000,-0.951057,0.024500,-0.950999,11306
0.315000,-1.000000,0.001135,-0.997731,10577
0.316000,-0.951057,0.021800,-0.956400,11101
0.317000,-0.809017,0.084834,-0.830332,10550
0.318000,-0.587785,0.180351,-0.639298,11278
0.319000,-0.309017,0.298294,-0.403413,11311
0.320000,0.000000,0.466459,-0.067081,11255
0.321000,0.309017,0.616007,0.232013,11008
0.322000,0.587785,0.767348,0.534697,10707
0.323000,0.809017,0.884496,0.768992,10623
0.324000,0.951057,0.967917,0.935834,10504
0.325000,1.000000,0.998761,0.997523,10495
0.326000,0.951057,0.974067,0.948134,10450
0.327000,0.809017,0.894301,0.788601,10615
0.328000,0.587785,0.782799,0.565597,10755
0.329000,0.309017,0.632084,0.264169,10622
0.330000,-0.000000,0.481042,-0.037915,11051
0.331000,-0.309017,0.317188,-0.365623,11438
0.332000,-0.587785,0.181747,-0.636506,11505
0.333000,-0.809017,0.090379,-0.819241,11839
0.334000,-0.951057,0.024694,-0.950611,11946
0.335000,-1.000000,0.000996,-0.998008,12046
0.336000,-0.951057,0.021953,-0.956093,11980
0.337000,-0.809017,0.082127,-0.835746,11811
0.338000,-0.587785,0.183226,-0.633547,11685
0.339000,-0.309017,0.316180,-0.367641,11465
0.340000,0.000000,0.456558,-0.086883,11245
0.341000,0.309017,0.623656,0.247312,10974
0.342000,0.587785,0.760311,0.520621,10814
0.343000,0.809017,0.889360,0.778719,10620
0.344000,0.951057,0.963711,0.927422,10499
0.345000,1.000000,0.998664,0.997328,10478
0.346000,0.951057,0.974310,0.948620,10510
0.347000,0.809017,0.897627,0.795253,10618
0.348000,0.587785,0.772939,0.545878,10746
0.349000,0.309017,0.636851,0.273702,11001
0.350000,-0.000000,0.474499,-0.051001,11235
0.351000,-0.309017,0.311256,-0.377488,11505
0.352000,-0.587785,0.194256,-0.611487,11665
0.353000,-0.809017,0.085678,-0.828644,11835
0.354000,-0.951057,0.020906,-0.958188,12006
0.355000,-1.000000,0.000999,-0.998002,12010
0.356000,-0.951057,0.021813,-0.956373,12011
0.357000,-0.809017,0.081533,-0.836934,11897
0.358000,-0.587785,0.182935,-0.634130,11720
0.359000,-0.309017,0.315969,-0.368061,11403
0.360000,0.000000,0.457531,-0.084938,11267
0.361000,0.309017,0.617591,0.235182,11017
0.362000,0.587785,0.758981,0.517963,10800
0.363000,0.809017,0.889046,0.778093,10590
0.364000,0.951057,0.964269,0.928537,10523
0.365000,1.000000,0.998756,0.997512,10451
0.366000,0.951057,0.974207,0.948414,10468
0.367000,0.809017,0.893745,0.787491,10616
0.368000,0.587785,0.773427,0.546855,10778
0.369000,0.309017,0.639570,0.279140,10973
0.370000,-0.000000,0.467054,-0.065892,11185
0.371000,-0.309017,0.315698,-0.368605,11473
0.372000,-0.587785,0.194178,-0.611644,11577
0.373000,-0.809017,0.085876,-0.828248,11831
0.374000,-0.951057,0.021094,-0.957812,11899
